filter_id,cwl,fwhm,snr
S269,1347.03595759,11.2556838541,18894.8493572
S270,1348.9119049,11.2751431169,18834.8190433
S271,1350.79109542,11.2946491259,18768.3561833
S272,1352.67353694,11.314202043,18693.0585225
S273,1354.55923728,11.3338020313,18617.6305089
S274,1356.44820428,11.3534492544,18542.0718287
S275,1358.34044583,11.3731438768,18466.382167
S276,1360.23596981,11.3928860637,18390.5612078
S277,1362.13478415,11.4075403928,18314.608634
S278,1364.03604088,11.3937088347,18250.8466918
S279,1365.93499235,11.3799657824,18190.0802447
S280,1367.83165332,11.3663103131,18129.3870938
S281,1369.72603837,11.3527415178,18068.7667722
S282,1371.61816196,11.3392585001,18008.2188174
S283,1373.50803837,11.3258603768,17947.7427721
S284,1375.39568177,11.3125462772,17893.6690917
S285,1377.28110615,11.2993153431,17863.5023016
S286,1379.16432537,11.2861667283,17833.370794
S287,1381.04535316,11.2730995987,17803.2743494
S288,1382.92420309,11.2601131318,17773.2127505
S289,1384.80088862,11.2472065169,17743.1857822
S290,1386.67542303,11.2343789542,17713.1932314
S291,1388.54781953,11.2216296555,17683.2348876
S292,1390.41809114,11.2089578431,17653.3105418
S293,1392.28625078,11.1963627502,17623.4199876
S294,1394.15231124,11.1838436205,17593.5630202
S295,1396.01628517,11.1713997082,17563.7394372
S296,1397.87818512,11.1658077469,17533.949038
S297,1399.73915308,11.1804061038,17504.1735507
S298,1401.6025541,11.1950228497,17500.0
S299,1403.46839124,11.2096580059,17500.0
S300,1405.33666757,11.2243115937,17500.0
S301,1407.20738617,11.2389836347,17500.0
S302,1409.08055011,11.2536741501,17500.0
S303,1410.95616247,11.2683831614,17500.0
S304,1412.83422633,11.2831106901,17481.2833255
S305,1414.71474478,11.2978567577,17375.9742924
S306,1416.59772091,11.3126213857,17270.5276293
S307,1418.4831578,11.3274045955,17164.943163
S308,1420.37105857,11.3422064087,17059.2207201
S309,1422.2614263,11.357026847,16953.360127
S310,1424.15426411,11.3718659317,16847.3612097
S311,1426.0495751,11.3867236846,16749.6203952
S312,1427.94736238,11.4016001273,16658.5266057
S313,1429.84762907,11.4164952814,16567.3138047
S314,1431.75037828,11.4314091686,16475.9818424
S315,1433.65561314,11.4431550821,16384.5305691
S316,1435.56280566,11.4493464023,16292.9853284
S317,1437.47103006,11.4555313121,16201.3905572
S318,1439.38028528,11.4617098152,16260.1691289
S319,1441.29057025,11.4678819155,16321.2982479
S320,1443.2018839,11.4740476169,16382.4602848
S321,1445.11422517,11.480206923,16443.6552054
S322,1447.02759299,11.4863598378,16504.8829756
S323,1448.94198629,11.4925063652,16566.1435614
S324,1450.85740402,11.498646509,16641.1553931
S325,1452.77384511,11.5047802731,16733.1445651
S326,1454.69130849,11.5109076615,16825.1828073
S327,1456.6097931,11.5170286782,16917.2700686
S328,1458.52929788,11.523143327,17009.406298
S329,1460.44982176,11.529251612,17101.5914447
S330,1462.3713637,11.535353537,17193.8254576
S331,1464.29392262,11.5414491062,17185.648619
S332,1466.21749747,11.5475383236,17170.2600202
S333,1468.14208719,11.5536211932,17154.8633025
S334,1470.06769073,11.5581048461,17139.4584742
S335,1471.99404153,11.5623008801,17124.0476677
S336,1473.92109168,11.5664905009,17108.6312666
