Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
2306.0,0.3008584022521973,0.4833736002445221,0.43278880715370177,0.7619038,0.7931109309196472,0.34175018668174745,0.46747649908065797,0.5636434674263,0.6321893334388733,0.6937763810157775,0.27418479323387146,0.6694542765617371,0.38608700037002563,0.6331229925155639,0.6384493827819824,0.346622633934021,0.449384,0.39581298828125,0.5596269845962525,0.465023398399353,0.4983472166,0.11477386653423309,0.801667582988739,0.5811068177223205,0.9127697706222534,0.6501351833343506,0.2916516065597534,0.26595198810100557,0.6482611536979676
2307.0,0.30098779797554015,0.48309720158576963,0.43261960744857786,0.7620416,0.7936420321464539,0.341762387752533,0.46076189875602724,0.5638310551643372,0.6323607563972473,0.6947487831115723,0.27387359738349915,0.6680459380149841,0.38572099804878235,0.6310439944267273,0.6374647855758667,0.3458383738994598,0.446158,0.39368098974227905,0.558886981010437,0.46675360202789307,0.4889094112,0.111550734937191,0.8014521837234497,0.5809400200843811,0.9120956182479858,0.6524203896522522,0.2917892038822174,0.25926958918571474,0.6474135994911194
2308.0,0.30111719369888307,0.48282080292701723,0.432450407743454,0.7621794000000001,0.7941731333732605,0.34177458882331846,0.45404729843139646,0.5640186429023742,0.6325321793556213,0.6957211852073669,0.27356240153312683,0.6666375994682312,0.38535499572753906,0.6289649963378906,0.636480188369751,0.3450541138648987,0.442932,0.3915489912033081,0.5581469774246216,0.4684838056564331,0.4794716058,0.10832760334014893,0.8012367844581604,0.5807732224464417,0.9114214658737183,0.6547055959701538,0.2919268012046814,0.25258719027042387,0.6465660452842712
2309.0,0.30124658942222593,0.4825444042682648,0.4322812080383301,0.7623172,0.7947042346000671,0.341786789894104,0.44733269810676574,0.5642062306404114,0.6327036023139954,0.6966935873031617,0.2732512056827545,0.6652292609214783,0.3849889934062958,0.626885998249054,0.6354955911636353,0.34426985383033754,0.439706,0.38941699266433716,0.5574069738388061,0.47021400928497314,0.4700338004,0.10510447174310684,0.8010213851928711,0.5806064248085022,0.9107473134994507,0.6569908022880554,0.2920643985271454,0.24590479135513305,0.6457184910774231
2310.0,0.30137598514556885,0.48226800560951233,0.4321120083332062,0.762455,0.7952353358268738,0.3417989909648895,0.440618097782135,0.5643938183784485,0.6328750252723694,0.6976659893989563,0.2729400098323822,0.6638209223747253,0.3846229910850525,0.6248070001602173,0.6345109939575195,0.34348559379577637,0.43648,0.3872849941253662,0.5566669702529907,0.4719442129135132,0.460595995,0.10188134014606476,0.8008059859275818,0.5804396271705627,0.9100731611251831,0.659276008605957,0.2922019958496094,0.23922239243984222,0.644870936870575
2311.0,0.3014419853687286,0.4820068061351776,0.4320470094680786,0.7622124,0.7957664728164673,0.34181819558143617,0.43269129395484923,0.5645814180374146,0.6327139616012574,0.7019641876220704,0.272540408372879,0.6623413562774658,0.38348199129104615,0.6226696014404297,0.6333085894584656,0.34270129799842836,0.43428,0.3849027931690216,0.556108582019806,0.47293001413345337,0.4548535942,0.09865805357694626,0.7996377944946289,0.5812288403511048,0.9093989849090576,0.6578188061714172,0.29236059784889223,0.23253967463970185,0.644023334980011
2312.0,0.3015079855918884,0.4817456066608429,0.43198201060295105,0.7619698,0.7962976098060608,0.3418374001979828,0.42476449012756345,0.5647690176963807,0.6325528979301452,0.7062623858451843,0.27214080691337583,0.6608617901802063,0.3823409914970398,0.6205322027206421,0.6321061849594116,0.34191700220108034,0.43208,0.382520592212677,0.5555501937866211,0.47391581535339355,0.4491111934,0.09543476700782776,0.798469603061676,0.5820180535316467,0.9087248086929322,0.6563616037368775,0.29251919984817504,0.22585695683956147,0.643175733089447
2313.0,0.30157398581504824,0.4814844071865082,0.4319170117378235,0.7617271999999999,0.7968287467956543,0.3418566048145294,0.41683768630027773,0.5649566173553466,0.6323918342590332,0.7105605840682984,0.2717412054538727,0.6593822240829468,0.3811999917030334,0.6183948040008544,0.6309037804603577,0.3411327064037323,0.42988,0.3801383912563324,0.5549918055534363,0.47490161657333374,0.4433687926,0.09221148043870926,0.7973014116287231,0.5828072667121887,0.9080506324768066,0.6549044013023376,0.2926778018474579,0.21917423903942107,0.6423281311988831
2314.0,0.301639986038208,0.4812232077121735,0.4318520128726959,0.7614846,0.7973598837852478,0.34187580943107604,0.40891088247299195,0.5651442170143127,0.6322307705879211,0.7148587822914123,0.2713416039943695,0.6579026579856873,0.3800589919090271,0.6162574052810669,0.6297013759613037,0.34034841060638427,0.42768,0.3777561902999878,0.5544334173202514,0.4758874177932739,0.4376263918,0.08898819386959075,0.7961332201957703,0.5835964798927307,0.9073764562606812,0.6534471988677979,0.2928364038467407,0.2124915212392807,0.6414805293083191
2315.0,0.3017059862613678,0.48096200823783875,0.43178701400756836,0.761242,0.7978910207748413,0.3418950140476227,0.4009840786457062,0.5653318166732788,0.6320697069168091,0.7191569805145264,0.27094200253486633,0.6564230918884277,0.37891799211502075,0.6141200065612793,0.6284989714622498,0.33956411480903625,0.42548,0.3753739893436432,0.5538750290870667,0.4768732190132141,0.431883991,0.08576490730047226,0.7949650287628174,0.5843856930732727,0.9067022800445557,0.6519899964332581,0.29299500584602356,0.20580880343914032,0.6406329274177551
2316.0,0.3017015874385834,0.4820744037628174,0.43179880976676943,0.7613184,0.797508156299591,0.34196341037750244,0.3958950340747833,0.5654022932052613,0.6319309353828431,0.7230501890182495,0.2703532040119171,0.654660415649414,0.377348792552948,0.6129118084907532,0.6272877812385559,0.3385894656181335,0.424536,0.3725369930267334,0.5527834177017212,0.4771859347820282,0.433536792,0.09703254699707031,0.7938500285148621,0.5853922605514527,0.9063244700431824,0.6460179924964905,0.29311880467681883,0.20135040879249572,0.6407032966613769
2317.0,0.301697188615799,0.483186799287796,0.43181060552597045,0.7613947999999999,0.7971252918243408,0.3420318067073822,0.3908059895038605,0.5654727697372437,0.6317921638488769,0.7269433975219727,0.2697644054889679,0.6528977394104004,0.37577959299087527,0.611703610420227,0.626076591014862,0.33761481642723085,0.423592,0.3696999967098236,0.5516918063163757,0.4774986505508423,0.435189593,0.10830018669366837,0.7927350282669068,0.5863988280296326,0.9059466600418091,0.640045988559723,0.2932426035076141,0.19689201414585114,0.6407736659049987
2318.0,0.3016927897930145,0.48429919481277467,0.4318224012851715,0.7614712,0.7967424273490906,0.34210020303726196,0.3857169449329376,0.565543246269226,0.6316533923149109,0.7308366060256958,0.26917560696601867,0.6511350631713867,0.37421039342880247,0.610495412349701,0.6248654007911683,0.3366401672363281,0.422648,0.3668630003929138,0.5506001949310303,0.47781136631965637,0.436842394,0.11956782639026642,0.7916200280189514,0.5874053955078125,0.9055688500404357,0.6340739846229553,0.29336640233840944,0.19243361949920654,0.6408440351486206
2319.0,0.3016883909702301,0.4854115903377533,0.43183419704437254,0.7615476,0.7963595628738404,0.3421685993671417,0.38062790036201477,0.5656137228012085,0.6315146207809448,0.734729814529419,0.2685868084430695,0.6493723869323731,0.3726411938667297,0.6092872142791748,0.6236542105674744,0.33566551804542544,0.421704,0.36402600407600405,0.5495085835456848,0.47812408208847046,0.438495195,0.13083546608686447,0.7905050277709961,0.5884119629859924,0.9051910400390625,0.6281019806861877,0.2934902011692047,0.18797522485256196,0.6409144043922425
2320.0,0.3016839921474457,0.48652398586273193,0.4318459928035736,0.761624,0.7959766983985901,0.3422369956970215,0.3755388557910919,0.5656841993331909,0.6313758492469788,0.7386230230331421,0.26799800992012024,0.6476097106933594,0.371071994304657,0.6080790162086487,0.6224430203437805,0.3346908688545227,0.42076,0.36118900775909424,0.5484169721603394,0.47843679785728455,0.440147996,0.14210310578346252,0.7893900275230408,0.5894185304641724,0.9048132300376892,0.6221299767494202,0.293614,0.18351683020591736,0.6409847736358643
2321.0,0.30179899334907534,0.4879901885986328,0.4317651927471161,0.7616836,0.7955938220024109,0.34226999878883363,0.3755534887313843,0.5657546758651734,0.6311315894126892,0.7403684139251709,0.267343008518219,0.6457868814468384,0.370197594165802,0.6076300144195557,0.6211822152137756,0.3337161779403687,0.421288,0.35940340757369993,0.5480843782424927,0.47867698073387144,0.44781179439999996,0.15337128341197967,0.7875922203063965,0.5911580204963685,0.9044354081153869,0.610904586315155,0.2936486005126953,0.1790582239627838,0.6410551548004151
2322.0,0.30191399455070494,0.48945639133453367,0.43168439269065856,0.7617432,0.7952109456062317,0.3423030018806458,0.37556812167167664,0.5658251523971558,0.6308873295783997,0.7421138048171997,0.26668800711631774,0.6439640522003174,0.369323194026947,0.6071810126304626,0.6199214100837708,0.3327414870262146,0.421816,0.3576178073883057,0.547751784324646,0.4789171636104584,0.4554755928,0.16463946104049682,0.7857944130897522,0.5928975105285644,0.9040575861930847,0.5996791958808899,0.29368320102539064,0.17459961771965027,0.6411255359649658
2323.0,0.3020289957523346,0.4909225940704346,0.43160359263420106,0.7618028,0.7948280692100524,0.34233600497245786,0.375582754611969,0.5658956289291381,0.6306430697441101,0.7438591957092285,0.2660330057144165,0.6421412229537964,0.36844879388809204,0.6067320108413696,0.6186606049537658,0.33176679611206056,0.422344,0.35583220720291137,0.5474191904067993,0.4791573464870453,0.4631393912,0.175907638669014,0.7839966058731079,0.5946370005607605,0.9036797642707824,0.5884538054466247,0.2937178015380859,0.17014101147651672,0.6411959171295166
2324.0,0.3021439969539642,0.49238879680633546,0.4315227925777435,0.7618623999999999,0.7944451928138733,0.34236900806427,0.37559738755226135,0.5659661054611206,0.6303988099098206,0.7456045866012573,0.26537800431251524,0.6403183937072754,0.36757439374923706,0.6062830090522766,0.617399799823761,0.33079210519790647,0.422872,0.3540466070175171,0.5470865964889526,0.4793975293636322,0.4708031896,0.18717581629753113,0.7821987986564636,0.5963764905929565,0.9033019423484803,0.5772284150123597,0.29375240205078124,0.16568240523338318,0.6412662982940673
2325.0,0.30225899815559387,0.49385499954223633,0.431441992521286,0.761922,0.7940623164176941,0.34240201115608215,0.3756120204925537,0.566036581993103,0.630154550075531,0.7473499774932861,0.264723002910614,0.6384955644607544,0.3666999936103821,0.6058340072631836,0.6161389946937561,0.32981741428375244,0.4234,0.3522610068321228,0.546754002571106,0.4796377122402191,0.478466988,0.19844399392604828,0.7804009914398193,0.5981159806251526,0.902924120426178,0.5660030245780945,0.29378700256347656,0.16122379899024963,0.6413366794586182
2326.0,0.3024675965309143,0.49529080390930175,0.43112499117851255,0.7618592,0.7934348344802856,0.3424004077911377,0.3791792690753937,0.5652508497238159,0.6297934770584106,0.7485401868820191,0.2638142049312592,0.6364088892936707,0.36625019311904905,0.6056218028068543,0.6150335907936096,0.3275508999824524,0.424822,0.35180880427360534,0.5459410071372985,0.47943916320800783,0.4875817898,0.2148115813732147,0.7783331990242004,0.5999071478843689,0.9026743292808532,0.553378415107727,0.29377360345078124,0.15846329629421235,0.6399952292442321
2327.0,0.30267619490623476,0.49672660827636717,0.43080798983573915,0.7617963999999999,0.7928073525428772,0.34239880442619325,0.38274651765823364,0.5644651174545288,0.6294324040412903,0.749730396270752,0.2629054069519043,0.634322214126587,0.3658003926277161,0.6054095983505249,0.6139281868934632,0.32528438568115237,0.426244,0.35135660171508787,0.5451280117034912,0.4792406141757965,0.49669659159999996,0.23117916882038117,0.7762654066085816,0.6016983151435852,0.9024245381355286,0.5407538056373596,0.2937602043380859,0.15570279359817504,0.6386537790298462
2328.0,0.30288479328155515,0.49816241264343264,0.4304909884929657,0.7617336,0.7921798706054688,0.34239720106124877,0.3863137662410736,0.5636793851852417,0.6290713310241699,0.7509206056594848,0.26199660897254945,0.6322355389595031,0.36535059213638305,0.6051973938941956,0.6128227829933166,0.3230178713798523,0.427666,0.35090439915657046,0.5443150162696838,0.4790420651435852,0.5058113933999999,0.2475467562675476,0.7741976141929626,0.6034894824028015,0.9021747469902038,0.5281291961669922,0.29374680522539065,0.15294229090213776,0.6373123288154602
2329.0,0.3030933916568756,0.49959821701049806,0.4301739871501923,0.7616708,0.7915523886680603,0.34239559769630434,0.3898810148239136,0.5628936529159546,0.6287102580070496,0.7521108150482178,0.26108781099319456,0.6301488637924194,0.36490079164505007,0.6049851894378662,0.6117173790931701,0.32075135707855223,0.429088,0.350452196598053,0.5435020208358765,0.4788435161113739,0.5149261951999999,0.26391434371471406,0.7721298217773438,0.6052806496620178,0.9019249558448792,0.5155045866966248,0.2937334061126953,0.15018178820610045,0.6359708786010743
2330.0,0.30330199003219604,0.5010340213775635,0.4298569858074188,0.761608,0.7909249067306519,0.34239399433135986,0.39344826340675354,0.5621079206466675,0.6283491849899292,0.7533010244369507,0.2601790130138397,0.6280621886253357,0.36445099115371704,0.6047729849815369,0.6106119751930237,0.3184848427772522,0.43051,0.3499999940395355,0.5426890254020691,0.4786449670791626,0.524040997,0.2802819311618805,0.7700620293617249,0.6070718169212341,0.9016751646995544,0.5028799772262573,0.293720007,0.14742128551006317,0.6346294283866882
2331.0,0.3036207914352417,0.5018076181411744,0.4298391878604889,0.7618621999999999,0.7902974009513855,0.34236839413642883,0.39792580604553224,0.5613221526145935,0.6278562903404236,0.753747820854187,0.2592728078365326,0.6258744835853577,0.3646057903766632,0.6051585912704468,0.6090699791908264,0.31621821522712706,0.43191,0.3501521944999695,0.5418568253517151,0.4784883201122284,0.529966402,0.29665030241012574,0.7685684204101563,0.6090695858001709,0.9014253735542297,0.4940655827522278,0.29364346270372926,0.14466064870357515,0.6332879066467285
2332.0,0.30393959283828736,0.5025812149047851,0.42982138991355895,0.7621163999999999,0.7896698951721192,0.3423427939414978,0.40240334868431094,0.5605363845825195,0.6273633956909179,0.7541946172714233,0.25836660265922545,0.6236867785453797,0.3647605895996094,0.6055441975593567,0.6075279831886291,0.31395158767700193,0.43331000000000003,0.35030439496040344,0.5410246253013611,0.4783316731452942,0.5358918069999999,0.313018673658371,0.7670748114585877,0.6110673546791077,0.901175582408905,0.48525118827819824,0.2935669184074585,0.1419000118970871,0.6319463849067688
2333.0,0.304258394241333,0.503354811668396,0.42980359196662904,0.7623706,0.7890423893928528,0.3423171937465668,0.4068808913230896,0.5597506165504456,0.6268705010414124,0.7546414136886597,0.25746039748191835,0.6214990735054016,0.36491538882255553,0.6059298038482666,0.6059859871864319,0.31168496012687685,0.43471,0.3504565954208374,0.5401924252510071,0.47817502617836,0.541817212,0.3293870449066162,0.765581202507019,0.6130651235580444,0.9009257912635803,0.4764367938041687,0.2934903741111877,0.13913937509059907,0.6306048631668091
2334.0,0.3045771956443787,0.5041284084320068,0.4297857940196991,0.7626248,0.7884148836135865,0.34229159355163574,0.4113584339618683,0.5589648485183716,0.6263776063919068,0.755088210105896,0.2565541923046112,0.6193113684654236,0.36507018804550173,0.6063154101371765,0.6044439911842346,0.3094183325767517,0.43611,0.35060879588127136,0.5393602252006531,0.47801837921142576,0.5477426169999999,0.34575541615486144,0.7640875935554504,0.6150628924369812,0.9006760001182557,0.46762239933013916,0.293413829814917,0.136378738284111,0.6292633414268494
2335.0,0.3048959970474243,0.5049020051956177,0.42976799607276917,0.762879,0.7877873778343201,0.3422659933567047,0.415835976600647,0.5581790804862976,0.6258847117424011,0.7555350065231323,0.2556479871273041,0.6171236634254456,0.3652249872684479,0.6067010164260864,0.6029019951820374,0.3071517050266266,0.43751,0.3507609963417053,0.5385280251502991,0.4778617322444916,0.553668022,0.3621237874031067,0.7625939846038818,0.617060661315918,0.9004262089729309,0.4588080048561096,0.29333728551864624,0.13361810147762299,0.6279218196868896
2336.0,0.30495319962501527,0.5062114000320435,0.4298391997814178,0.7626535999999999,0.7872367143630982,0.342276394367218,0.4204235732555389,0.557193660736084,0.6247807741165161,0.7557546019554138,0.25449898838996887,0.6147256851196289,0.3659185886383057,0.607270610332489,0.6018342018127442,0.3059276044368744,0.441118,0.35186379551887514,0.537648618221283,0.4775091052055359,0.5564854144,0.3655705749988556,0.7622705936431885,0.6187875986099243,0.900794780254364,0.4546554028987885,0.29315983057022094,0.13475029468536376,0.6271690726280212
2337.0,0.3050104022026062,0.5075207948684692,0.42991040349006654,0.7624282,0.7866860508918763,0.3422867953777313,0.4250111699104309,0.5562082409858704,0.6236768364906311,0.7559741973876953,0.25334998965263367,0.6123277068138122,0.3666121900081635,0.6078402042388916,0.600766408443451,0.3047035038471222,0.444726,0.3529665946960449,0.5367692112922668,0.4771564781665802,0.5593028068,0.3690173625946045,0.7619472026824952,0.6205145359039307,0.9011633515357971,0.4505028009414673,0.29298237562179563,0.13588248789310456,0.6264163255691528
2338.0,0.3050676047801971,0.508830189704895,0.4299816071987152,0.7622028,0.7861353874206543,0.34229719638824463,0.42959876656532286,0.5552228212356567,0.6225728988647461,0.7561937928199768,0.25220099091529846,0.6099297285079956,0.3673057913780212,0.6084097981452942,0.5996986150741577,0.30347940325737,0.448334,0.35406939387321473,0.5358898043632507,0.4768038511276245,0.5621201992,0.3724641501903534,0.7616238117218017,0.622241473197937,0.9015319228172303,0.44635019898414613,0.2928049206733704,0.13701468110084533,0.6256635785102844
2339.0,0.3051248073577881,0.5101395845413208,0.4300528109073639,0.7619774,0.7855847239494324,0.34230759739875793,0.43418636322021487,0.5542374014854431,0.6214689612388611,0.7564133882522583,0.25105199217796326,0.607531750202179,0.367999392747879,0.6089793920516968,0.5986308217048645,0.3022553026676178,0.451942,0.3551721930503845,0.5350103974342346,0.4764512240886688,0.5649375916,0.3759109377861023,0.7613004207611084,0.6239684104919434,0.9019004940986634,0.44219759702682493,0.2926274657249451,0.13814687430858613,0.624910831451416
2340.0,0.30518200993537903,0.5114489793777466,0.4301240146160126,0.761752,0.7850340604782104,0.34231799840927124,0.4387739598751068,0.5532519817352295,0.6203650236129761,0.7566329836845398,0.24990299344062805,0.6051337718963623,0.3686929941177368,0.6095489859580994,0.5975630283355713,0.3010312020778656,0.45555,0.3562749922275543,0.5341309905052185,0.47609859704971313,0.567754984,0.3793577253818512,0.760977029800415,0.6256953477859497,0.9022690653800964,0.4380449950695038,0.2924500107765198,0.1392790675163269,0.6241580843925476
2341.0,0.30546060800552366,0.5123661875724792,0.42997761368751525,0.7618744,0.7844833731651306,0.34234519600868224,0.4420440375804901,0.552266526222229,0.6192883253097534,0.7565023899078369,0.2486997961997986,0.6026450872421265,0.3697139978408813,0.6081775903701783,0.5964940190315247,0.29980704188346863,0.46022,0.3593951940536499,0.5329673886299133,0.4755267918109894,0.5692045928,0.38280467987060546,0.762127423286438,0.6271100521087647,0.9026376485824585,0.43592479825019836,0.2922043681144714,0.140411314368248,0.6234052896499633
2342.0,0.30573920607566835,0.5132833957672119,0.4298312127590179,0.7619968,0.7839326858520508,0.34237239360809324,0.4453141152858734,0.5512810707092285,0.6182116270065308,0.756371796131134,0.2474965989589691,0.6001564025878906,0.3707350015640259,0.6068061947822571,0.595425009727478,0.29858288168907166,0.46489,0.36251539587974546,0.5318037867546082,0.47495498657226565,0.5706542016,0.3862516343593597,0.763277816772461,0.6285247564315796,0.9030062317848205,0.43380460143089294,0.2919587254524231,0.14154356122016906,0.6226524949073792
2343.0,0.306017804145813,0.5142006039619446,0.42968481183052065,0.7621192,0.783381998538971,0.3423995912075043,0.44858419299125674,0.550295615196228,0.6171349287033081,0.7562412023544312,0.24629340171813965,0.5976677179336548,0.3717560052871704,0.605434799194336,0.5943560004234314,0.2973587214946747,0.46956,0.3656355977058411,0.530640184879303,0.47438318133354185,0.5721038104,0.38969858884811404,0.7644282102584838,0.6299394607543946,0.9033748149871826,0.4316844046115875,0.2917130827903748,0.14267580807209015,0.6218997001647949
2344.0,0.30629640221595766,0.5151178121566773,0.4295384109020233,0.7622416000000001,0.7828313112258911,0.3424267888069153,0.45185427069664,0.5493101596832275,0.6160582304000854,0.7561106085777283,0.24509020447731017,0.5951790332794189,0.37277700901031496,0.6040634036064148,0.5932869911193848,0.2961345613002777,0.47423,0.36875579953193666,0.5294765830039978,0.4738113760948181,0.5735534192,0.3931455433368683,0.7655786037445068,0.6313541650772094,0.9037433981895446,0.4295642077922821,0.2914674401283264,0.14380805492401122,0.6211469054222107
2345.0,0.3065750002861023,0.5160350203514099,0.429392009973526,0.762364,0.7822806239128113,0.3424539864063263,0.4551243484020233,0.548324704170227,0.6149815320968628,0.7559800148010254,0.2438870072364807,0.5926903486251831,0.3737980127334595,0.6026920080184937,0.5922179818153381,0.29491040110588074,0.4789,0.3718760013580322,0.5283129811286926,0.47323957085609436,0.575003028,0.39659249782562256,0.7667289972305298,0.6327688694000244,0.9041119813919067,0.4274440109729767,0.2912217974662781,0.1449403017759323,0.6203941106796265
2346.0,0.3066578030586243,0.5165488123893738,0.4293444097042084,0.7622446,0.7820330262184143,0.34235618710517884,0.45689181685447694,0.5467843651771546,0.6133597612380981,0.7557344079017639,0.24251260459423066,0.5899905562400818,0.37503700852394106,0.6001090049743653,0.5915879845619202,0.2955544352531433,0.48262,0.37554740309715273,0.5274199843406677,0.47257242202758787,0.5745482208,0.39215714335441587,0.7690101981163024,0.6331356883049011,0.9041409254074096,0.42506080865859985,0.29100889557302245,0.15162891149520874,0.6197063088417053
2347.0,0.30674060583114626,0.5170626044273376,0.42929680943489074,0.7621252000000001,0.7817854285240173,0.3422583878040314,0.45865928530693056,0.5452440261840821,0.6117379903793335,0.7554888010025025,0.2411382019519806,0.5872907638549805,0.3762760043144226,0.5975260019302369,0.5909579873085022,0.2961984694004059,0.48634,0.3792188048362732,0.5265269875526428,0.47190527319908143,0.5740934136,0.38772178888320924,0.7712913990020752,0.6335025072097779,0.9041698694229126,0.422677606344223,0.29079599367976683,0.15831752121448517,0.6190185070037841
2348.0,0.3068234086036682,0.5175763964653015,0.42924920916557313,0.7620058,0.7815378308296204,0.3421605885028839,0.46042675375938413,0.5437036871910095,0.6101162195205688,0.7552431941032409,0.23976379930973052,0.5845909714698792,0.3775150001049042,0.5949429988861084,0.5903279900550842,0.29684250354766845,0.49006,0.3828902065753937,0.5256339907646179,0.47123812437057494,0.5736386064000001,0.38328643441200255,0.7735725998878479,0.6338693261146545,0.9041988134384156,0.4202944040298462,0.29058309178651126,0.1650061309337616,0.6183307051658631
2349.0,0.3069062113761902,0.5180901885032654,0.42920160889625547,0.7618864,0.7812902331352234,0.34206278920173644,0.46219422221183776,0.542163348197937,0.6084944486618042,0.7549975872039795,0.23838939666748046,0.5818911790847778,0.3787539958953857,0.59235999584198,0.5896979928016662,0.29748653769493105,0.49378,0.38656160831451414,0.524740993976593,0.4705709755420685,0.5731837992000001,0.3788510799407959,0.7758538007736206,0.6342361450195313,0.9042277574539185,0.41791120171546936,0.29037018989325564,0.17169474065303802,0.6176429033279419
2350.0,0.30698901414871216,0.5186039805412292,0.42915400862693787,0.761767,0.7810426354408264,0.341964989900589,0.4639616906642914,0.5406230092048645,0.6068726778030396,0.754751980304718,0.2370149940252304,0.5791913866996765,0.3799929916858673,0.5897769927978516,0.5890679955482483,0.2981305718421936,0.4975,0.39023301005363464,0.5238479971885681,0.469903826713562,0.572728992,0.37441572546958923,0.7781350016593933,0.634602963924408,0.9042567014694214,0.41552799940109253,0.290157288,0.17838335037231445,0.6169551014900208
2351.0,0.3074250102043152,0.519261384010315,0.42897140979766846,0.7617436,0.7807950258255005,0.3420703947544098,0.46436710357666017,0.5390825867652893,0.6055337429046631,0.7537855863571167,0.23559019565582276,0.5765829086303711,0.3811925947666168,0.5873475909233093,0.588785195350647,0.29877463579177854,0.499222,0.3927784085273743,0.5226887941360474,0.4691279649734497,0.5717495922,0.36998016238212583,0.781862199306488,0.6344651222229004,0.9042856454849243,0.4117900013923645,0.2898704228,0.18507227897644044,0.6162672758102417
2352.0,0.3078610062599182,0.5199187874794007,0.42878881096839905,0.7617202,0.7805474162101745,0.3421757996082306,0.46477251648902895,0.5375421643257141,0.6041948080062867,0.7528191924095153,0.2341653972864151,0.5739744305610657,0.38239219784736633,0.5849181890487671,0.5885023951530457,0.29941869974136354,0.500944,0.3953238070011139,0.5215295910835266,0.4683521032333374,0.5707701924,0.3655445992946625,0.7855893969535828,0.6343272805213929,0.9043145895004272,0.40805200338363645,0.28958355760000004,0.19176120758056642,0.6155794501304627
2353.0,0.30829700231552126,0.5205761909484863,0.42860621213912964,0.7616968000000001,0.7802998065948487,0.3422812044620514,0.4651779294013977,0.5360017418861389,0.6028558731079101,0.7518527984619141,0.23274059891700744,0.5713659524917603,0.38359180092811584,0.5824887871742248,0.5882195949554443,0.3000627636909485,0.502666,0.3978692054748535,0.5203703880310059,0.4675762414932251,0.5697907926,0.3611090362071991,0.7893165946006775,0.6341894388198852,0.9043435335159302,0.40431400537490847,0.2892966924,0.19845013618469237,0.6148916244506836
2354.0,0.3087329983711243,0.521233594417572,0.42842361330986023,0.7616734000000001,0.7800521969795227,0.34238660931587217,0.46558334231376647,0.5344613194465637,0.6015169382095337,0.7508864045143128,0.2313158005475998,0.5687574744224548,0.38479140400886536,0.5800593852996826,0.587936794757843,0.30070682764053347,0.504388,0.40041460394859313,0.5192111849784851,0.4668003797531128,0.5688113928,0.35667347311973574,0.7930437922477722,0.6340515971183777,0.9043724775314331,0.40057600736618043,0.2890098272,0.20513906478881835,0.6142037987709046
2355.0,0.3091689944267273,0.5218909978866577,0.4282410144805908,0.76165,0.7798045873641968,0.342492014169693,0.46598875522613525,0.5329208970069885,0.6001780033111572,0.7499200105667114,0.22989100217819214,0.5661489963531494,0.38599100708961487,0.5776299834251404,0.5876539945602417,0.3013508915901184,0.50611,0.40296000242233276,0.5180519819259644,0.4660245180130005,0.567831993,0.35223791003227234,0.7967709898948669,0.6339137554168701,0.904401421546936,0.3968380093574524,0.288722962,0.21182799339294434,0.6135159730911255
2356.0,0.3094897925853729,0.5225927948951721,0.42803741097450254,0.7617572,0.7796087741851807,0.34254100918769836,0.4659182012081146,0.5308604121208191,0.5982421278953552,0.7486692070960999,0.22841140031814575,0.5635968446731567,0.3873042047023773,0.5758919835090637,0.5881085991859436,0.30225496292114257,0.505988,0.40436460375785827,0.5170015811920166,0.46546521186828616,0.5663567899999999,0.35027281641960145,0.8002283930778503,0.6335163354873657,0.9044753313064575,0.39571300745010374,0.2883850990597626,0.22216953635215758,0.6121537804603576
2357.0,0.30981059074401857,0.5232945919036865,0.4278338074684143,0.7618644,0.7794129610061645,0.34259000420570374,0.46584764719009397,0.5287999272346496,0.5963062524795533,0.7474184036254883,0.22693179845809935,0.5610446929931641,0.38861740231513975,0.5741539835929871,0.5885632038116455,0.3031590342521667,0.5058659999999999,0.40576920509338377,0.5159511804580689,0.46490590572357177,0.564881587,0.34830772280693056,0.8036857962608337,0.6331189155578614,0.904549241065979,0.39458800554275514,0.28804723611952515,0.23251107931137086,0.6107915878295899
2358.0,0.3101313889026642,0.5239963889122009,0.42763020396232604,0.7619716000000001,0.7792171478271485,0.3426389992237091,0.4657770931720734,0.5267394423484802,0.5943703770637512,0.7461676001548767,0.225452196598053,0.5584925413131714,0.38993059992790224,0.5724159836769104,0.5890178084373474,0.30406310558319094,0.505744,0.4071738064289093,0.5149007797241211,0.46434659957885743,0.563406384,0.3463426291942596,0.8071431994438172,0.6327214956283569,0.9046231508255005,0.3934630036354065,0.28770937317928774,0.2428526222705841,0.609429395198822
