Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
1738.45182915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747.1440883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755.87980874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764.65920778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773.48250382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782.34991634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791.26166592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.21797425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809.21906412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818.26515944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827.35648524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836.49326767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845.675734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854.90411267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864.17863324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873.4995264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882.86702404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892.28135916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901.74276595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911.25147978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920.80773718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
