Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
2310.08617707,0.30545539178663456,0.4812211532345069,0.43091715650510753,0.7600539647491337,0.7928359772665102,0.3414721245760209,0.4403044444908287,0.5560772512031911,0.6134195560692678,0.6966517224893614,0.2651992031534147,0.6487913236169602,0.38990047875106537,0.6239125530345724,0.6243468558796544,0.35161611408962534,0.3925580323674913,0.5477623144513937,0.46113291826341857,0.5101197955923629,0.2033658625803067,0.8034120912519714,0.5947071380312888,0.9054499183816791,0.6067936915958543,0.2885952795899043,0.28310219946611204,0.6351043277932686
2321.63660795,0.30667850614236275,0.4885903384474259,0.4299634843096956,0.7603042577578244,0.7907422759291596,0.34181820123540885,0.41710950287830867,0.5521756201010781,0.6105556861749595,0.7145744600292481,0.25802631612090593,0.6309481186661325,0.38315546434624725,0.6116725128374332,0.6155775688656033,0.3390706329810468,0.379470343969222,0.5404470879624657,0.4668077283232791,0.5069624698891565,0.23395407013810515,0.7950719528231057,0.5993675483658985,0.9036429329190984,0.5709175304524323,0.2884660476886692,0.24715546440858932,0.6265407470009378
2333.24479099,0.30843055093507377,0.49814572103156096,0.42896890710717117,0.7605484544812665,0.786886209354823,0.34205941675565815,0.4182772033548885,0.5447622050518869,0.6037827231326003,0.7249070248765023,0.2487681812933039,0.6100471609865037,0.3807764105762886,0.6032293858204117,0.6060418486639941,0.3267019261534247,0.37512315699666104,0.5322023689501658,0.4673254084874593,0.5288863569011212,0.29361965267525436,0.7886661933542375,0.6081103850156712,0.9022235386914982,0.5167197587891499,0.28733946168214997,0.23122804456454227,0.6165260523936298
2344.91101495,0.3105777136007314,0.5071654572884675,0.42807446088294515,0.7606453749887547,0.782662157322433,0.3422550353997911,0.4292040507147922,0.5331046387158338,0.5921422593592532,0.7260118288689951,0.23716727592729553,0.5865393509420151,0.3845179224736791,0.5935543762504476,0.5980419336225782,0.31848434925960617,0.38253146998142973,0.5227694068548511,0.4643092644386694,0.5435645220145133,0.32791144295629576,0.7921278834630667,0.6151578395220418,0.9020404874625916,0.4776663991632944,0.2849799479558091,0.2455405839367748,0.6049477072947904
2356.63557002,0.3130926626481261,0.5145371124799485,0.4270751868545255,0.7606787763175018,0.7791544246321533,0.3425603240311371,0.4303134364598437,0.5172840593281216,0.5754603970496219,0.718805441105137,0.22348006684954608,0.5617690594105808,0.3922014320572661,0.5804064683462506,0.5939047187634034,0.31789121416719524,0.3938320129437058,0.5127461693901822,0.4591232696024071,0.5412528427867339,0.32320504408800216,0.8070156220916754,0.6156453889906426,0.9017796235896789,0.4607751654097081,0.2814052633066841,0.2936348721016846,0.5914612435400044
2368.41874787,0.3156278590818039,0.5202871472225727,0.4262245973244804,0.7607749684622785,0.7760890932621636,0.34301813125106684,0.41495455649838253,0.49841171772418,0.5535580282315846,0.7036408471546479,0.20805727011545222,0.5375753771905427,0.40074365042492605,0.569260326501087,0.5932969408436425,0.3219759818251762,0.3982436162943725,0.5031076468688761,0.453012707971489,0.5263956732688663,0.29735189042224586,0.8236645362894944,0.6098165130625586,0.9004247144797972,0.4686577166973234,0.27648051618863023,0.361891434669185,0.5740191108523187
2380.26084161,0.31828596339193393,0.5246635729270811,0.42561991015782663,0.7609188182450028,0.7725556623672997,0.34356824228481725,0.38319994906798927,0.47744871536067135,0.5258436567141097,0.6815323255648752,0.1912095192220946,0.5153943558282257,0.4070670843739372,0.5586756094489452,0.5936703623707869,0.32534667877120327,0.3961993114058628,0.49364628273327577,0.44606256723902404,0.504944000542278,0.26802337224825906,0.8342129001615848,0.6004388377815577,0.8981417729451051,0.48668433469370914,0.27015113039112304,0.42706693879158664,0.5517863769756254
2392.16214582,0.3213951371408114,0.5287288684905066,0.4250981953230844,0.7610691849642276,0.7684209253988893,0.34423066837005944,0.34648256669986893,0.45410060547283937,0.49278111324861495,0.6541527548863768,0.17571466210856798,0.4963898580172844,0.41096848170387723,0.5535407291859609,0.5933121526524845,0.32458669403106477,0.39277017510366363,0.4837318504667416,0.4386142726173754,0.48969368672887653,0.26314555206789003,0.838636550837198,0.5887515024113895,0.8957376086393685,0.5033138954015305,0.26250968275474246,0.47655156567897816,0.524896636011851
2404.12295655,0.32469609015634165,0.5336660805857575,0.4245631691192093,0.7612277719636495,0.7644583582502991,0.3449479156625351,0.3197331670623209,0.4285989891425806,0.4578873651394091,0.6278466177424209,0.16844301113392995,0.48132878481007635,0.4151244513577522,0.5535588519839422,0.5915235220881747,0.3216507705443551,0.38949002812664946,0.4734785098038574,0.4327277740890476,0.4857869758845897,0.2820422705353975,0.8388652560961607,0.5752944482548412,0.8936831248449393,0.5262701898866745,0.2537024173922608,0.5109028373694188,0.49296139539982586
2416.14357133,0.32853036411022585,0.5378029283018356,0.42431686316647593,0.7613112108771781,0.7606021847171359,0.34552001070049637,0.29868313131334906,0.4019635150864253,0.42808566170176665,0.6104896247312647,0.17092628324815234,0.4703998413379785,0.41811825755570803,0.5490441652074205,0.5877895868616897,0.3184549943942868,0.38576081024384795,0.4627973255548505,0.4297928719410601,0.48028273522290904,0.3034229910568916,0.8358594736286747,0.5601443581799374,0.8921492245596992,0.549570785829073,0.24402205114269487,0.5327288251665342,0.4559456386388337
2428.22428919,0.3328335537039539,0.5406419471121748,0.42426413660995005,0.7614632061459726,0.7562703004382532,0.34602631643122356,0.2802761478719832,0.37647415730342654,0.40709122411275844,0.6015156344705825,0.17483535939850023,0.46292178199204725,0.417009048132873,0.5372664387425032,0.582295677732448,0.315653642822712,0.38119929294279953,0.45193173950783855,0.42823988205319624,0.4680280828215465,0.3092478110521019,0.8295336509102623,0.5432374847724702,0.8901412590560651,0.5688765259759543,0.23384933791750562,0.5442616529613891,0.41621028975095514
2440.36541064,0.33755541996845706,0.5427979126850707,0.42391997005910836,0.7611135762020249,0.7517906134983174,0.3465426334702693,0.27254831573203947,0.3535077970328248,0.3928979003022722,0.5922575952043728,0.1749020328394871,0.45766343319118746,0.41334461405303213,0.5214144995844098,0.5772517395282334,0.3142617607894233,0.3775895394522923,0.44124309266913836,0.4264767526247095,0.4545693366611245,0.30404326209268834,0.8201555899116862,0.5255365483709549,0.8878816957032039,0.5807476634379227,0.22362852052189464,0.5480471069418352,0.37645894339528807
2452.56723769,0.3426188287043998,0.5445840278105406,0.4230376616482251,0.7606371538087431,0.747760349329876,0.3470917369651282,0.26914871379945843,0.33420129537511495,0.3823974619522228,0.5778432615907887,0.1716533314010575,0.4532511976926747,0.4085351885000118,0.5068479486734163,0.5741100962814164,0.31526583166694494,0.37622960896774776,0.4314644768713899,0.42412968400757844,0.4408184092843604,0.2979706707355526,0.8077448330466471,0.5093149398219702,0.8859838071750448,0.5819240842594353,0.21385917076433758,0.545717904597979,0.3392440300757066
2464.83007388,0.3475776864330079,0.5462844360187576,0.4220281167414948,0.7600907011339954,0.7443370578481423,0.34752915686245434,0.2611741290088669,0.3188163073371084,0.3724444964169058,0.5651345801001711,0.1668439818086261,0.448706355816622,0.40360016837114465,0.495047695578348,0.5726717083799759,0.31754265367651335,0.37361959774304837,0.42308969459263807,0.4209241500941864,0.4276501768475098,0.2957204121147732,0.7921463040537524,0.49648063656969044,0.8844578551737018,0.5749827614676505,0.2049217723983829,0.5389161644953206,0.3063247587901233
2477.15422425,0.35291393444540614,0.5482356068562529,0.42136258909597357,0.7596483584892222,0.741672946679341,0.34785099553843074,0.2563777093098889,0.3083759254021157,0.36339637170085204,0.5600808312838945,0.16108817026571373,0.4434687070793087,0.40055473118023643,0.48283561822460336,0.5717723835813119,0.3200210941713118,0.3674802016555097,0.4157410706661776,0.4165190432373505,0.4168442831015699,0.30071897637491907,0.7752566431709207,0.4869107284208896,0.8832615518252872,0.5672684659262256,0.19702936542625127,0.5282075418005208,0.2800929725680351
2489.53999537,0.35875019060050445,0.5499783253332334,0.42064041477721154,0.7591218880464554,0.7392763840314736,0.3481871698564691,0.24786913530843008,0.30221045416209963,0.3586347140401333,0.5542580485997579,0.15469735866637574,0.4373657379930509,0.39937078232228246,0.47007709316060525,0.5712314128540726,0.32208032311913876,0.35998321058447336,0.4088847738266105,0.4112846440166629,0.4062127761150105,0.30912298692951073,0.761000195678368,0.4801640738387849,0.8820825107948915,0.5635469365623731,0.19020358238627147,0.5155508224275516,0.25948855731610543
2501.98769535,0.3647699171868843,0.551312736402779,0.41990503760877373,0.7583795460752919,0.7364086523160956,0.34856226963612696,0.22902187146445352,0.30069210363553117,0.3584320308731284,0.5395000998546365,0.14847321127870464,0.4305707600164443,0.3986532877874277,0.4598581946227406,0.5709145155418838,0.3228522929515076,0.35310933457049176,0.401659869315342,0.4066754597123123,0.39585915997030113,0.31505914546823016,0.7500640006210343,0.47825056852328623,0.880433797007944,0.5585415091423688,0.18428930427507895,0.5032124440444694,0.24439975472782124
2514.49763382,0.3709398905540108,0.5525199582293115,0.4190712955209431,0.7577419002109823,0.7329559020503528,0.34879582623776195,0.21729693341355297,0.3032032441537219,0.3605178505922348,0.5202221057675681,0.14312088632821132,0.4235807157967747,0.3980974854199007,0.4507208511451556,0.5708925082958785,0.3222802643162712,0.3497364807737729,0.3944918771225388,0.4032754581386323,0.3860891711758596,0.3174105478764326,0.7396883992997814,0.4855516045595278,0.8782014901963537,0.5485833965771865,0.1790791368255444,0.4921500313954386,0.2343908873756059
2527.07012199,0.37742842593722215,0.5537186126581096,0.41801424000791415,0.7574106880642832,0.7293278417984566,0.348905495264005,0.22674760914169298,0.30730821094784144,0.3622582509718996,0.511974784794088,0.13881728439820679,0.4168981906386857,0.3976272827569694,0.4414653203169911,0.5705495913548543,0.3211498981451696,0.3502991474607383,0.3881994006178112,0.4002079027865743,0.37742081294514274,0.3187877588180868,0.7304540176459854,0.5030929978742104,0.8755267201185385,0.5352327594300735,0.17437277107738922,0.4829271057931855,0.2280607882184709
2539.7054726,0.3837912580628699,0.5549535321122827,0.4169015641085363,0.7573668150240982,,0.34882240614796167,0.24251346621411599,,0.3616937321911173,0.5108086713876986,0.13536186634243505,0.41101734104877713,0.39712113413873534,0.432345216514428,0.5695521203144374,,0.3507891596780906,0.3830576323198124,0.3968018963852684,0.37034856500751157,,0.7357677315716153,0.5246473862215014,,0.5278464048764719,0.1699848442888818,,
2552.40399996,0.3894719350660774,0.5561792055535532,0.41579020634061903,0.7579696749443887,,0.348612716195406,0.2524548799276511,,0.35896586657672974,0.5084730030768412,0.13216921265616813,0.4060544082849936,0.3963430807584692,0.42324139215473455,0.5674940527026583,,0.3499447530741445,0.3791740834568496,0.3929962395034342,0.36457205831482414,,0.7618079022963962,0.5405168782250849,,0.5249389279996618,0.16579814565756562,,
2565.16601996,0.3949350714987707,0.5575649390950203,0.4146617529543421,0.7592231952702334,,0.34838287534051093,0.2558933933902494,,0.35515965209108064,0.5019981884781285,0.12873563512020875,0.40164774203109066,0.39566714685742327,0.41297374229351463,0.5643801615541711,,0.3495563199100533,0.37593967033792647,0.3885791327161373,0.3601914255029101,,0.7909878401407464,0.5484477984354875,,0.5202560187778653,0.16156793976008535,,
2577.99185006,0.4002989953855612,0.5593382761907505,0.4136000644451418,0.7611339628808836,,0.3480052081576953,0.2596907373628937,,0.35122954715020827,0.4900476554237384,0.12478295650320416,0.39723156042516417,0.39582154864508273,0.40175691861828416,0.5602890180622285,,0.35082153430787993,0.372512524899381,0.38325682866552535,0.3564595898968183,,0.8106826775508832,0.550800898360933,,0.5161961918170296,0.15706931408009936,,
2590.88180931,0.4055464521962877,0.5614543489565682,0.4124663615006045,0.7637111526551914,,0.34768426378279754,0.26826720658458053,,0.34750779344772675,0.4741289441750682,0.12032477213716702,0.3921375128442664,0.39686295167073077,0.39076417767132743,0.5555737493117131,,0.35202970513176296,0.36838135533641914,0.37701628545804794,0.35279803924559233,,0.8239295313555758,0.5492747546235983,,0.5152077250846564,0.15213317351198735,,
2603.83621836,0.41055626852835353,0.563569613724221,0.41124988533302537,0.7669143855341645,,0.3474522296511782,0.28039429714933806,,0.34317332108757664,0.45818947788971354,0.11562202071646088,0.38563669543865214,0.39804036369071205,0.3790276606511698,0.5505587479158303,,0.3515506484663987,0.36305483187365045,0.3697618645926267,0.34844408328102755,,0.8327245861798735,0.5445212996000396,,0.5145150335047849,0.14652263230694232,,
2616.85539945,0.41533297725547424,0.5650689008288823,0.4098747150458659,0.7702844606907069,,0.3473395706326575,0.2907583143108786,,0.33786828556678744,0.4483063639229213,0.11099487554590179,0.3768673531450402,0.39850401621065484,0.3650723768562493,0.545436905971445,,0.34830532853203444,0.35636453270323143,0.36118618201773633,0.34244665193645757,,0.8368730741495838,0.5371245568282496,,0.5151247189737721,0.13992828351850142,,
2629.93967645,0.4198129206952361,0.5654414585057718,0.4082875946337508,0.773514505411718,,0.347191770325162,0.29835963744461297,,0.3311830208468729,0.44814088845572125,0.10675053562686555,0.3651292182814863,0.39710220468895563,0.34657463225982477,0.5396137202731542,,0.3408606811066126,0.34805932218450336,0.35087513284277505,0.33374425113006007,,0.8382221680098088,0.5269107316211004,,0.5186540394779953,0.13201684210515244,,
2643.08937483,0.4240493921842935,0.5639357013967692,0.4063341988709678,0.7763146131390566,,0.3469470661490536,0.2983106073819928,,0.3217247426880782,0.45622999853206103,0.10314683205063693,0.34986392375583686,0.39284633756501736,0.321305580692934,0.531384125932056,,0.32614245284964544,0.33729112590772437,0.3382685871024066,0.3207823928705627,,0.8375115302026972,0.5132354628400264,,0.5202937783506947,0.12243879676594878,,
2656.30482171,0.4281772932797175,0.5591875721757487,0.4038804234225935,0.7786168946679476,,0.3465827589217767,0.28407101617199154,,0.3084413538203482,0.4665080755507982,0.10003206362298006,0.3306138179420371,0.3848663190343269,0.2880304260659101,0.5179656366485087,,0.30166660896992015,0.3220013214665578,0.3220304991343793,0.30038546988460013,,0.8340915140357663,0.49597644911755995,,0.5151303684471072,0.11061957676223895,,
2669.58634581,0.43184027544357756,0.5481253585470407,0.4006168375966324,0.780357857153318,,0.3460964689801896,0.2653894815630934,,0.29158391172946047,0.4750212288326127,0.09661244345833522,0.30695185220770316,0.37086199890450694,0.24406115675335857,0.49532849033705784,,0.26226593838580964,0.29742369460065865,0.3001308072536908,0.2677714948237518,,0.8273644510687269,0.47450960696618655,,0.5043564247886808,0.09599267474478111,,
2682.93427754,0.43453627059801414,0.5238816278240932,0.3963295181005251,0.7811046385481993,,0.3454473916316488,0.24998807590384675,,0.27172486580549743,0.4813865190298416,0.09208976813298982,0.27835527798207793,0.3461110310682995,0.18973116437881904,0.4586094095048503,,0.1994116884378633,0.255686969710051,0.27170273160367314,0.2247767299109075,,0.8159859127957659,0.4462492193018154,,0.4909876867173545,0.08013219775965061,,
2696.34894893,0.4366997836266681,0.4803534037689921,0.39131003019420035,0.7803495461755131,,0.3447010237130749,0.23510404237923715,,0.24772194114995416,0.4834870388625751,0.08603778529291155,0.244842560343368,0.3040737951245068,0.13444720761196044,0.40556127854760643,,0.13125251592292597,0.19943805442845342,0.23666782195802644,0.18453727650795693,,0.7979219666677186,0.40980889408919724,,0.47513171362842715,0.06538453269852144,,
2709.83069368,0.438709272674041,0.4302933258975927,0.3852928347372641,0.7784237678997742,,0.34385485794986115,0.2096915264051413,,0.21915052944531202,0.47481180884914886,0.07832571211517943,0.20793328439173098,0.23906401202289637,0.09834803605389637,0.34229772263532865,,0.08695040473033329,0.1524146185469016,0.196469069106339,0.1467818744773255,,0.7773850672437153,0.3705216013737026,,0.45474725271884825,0.053229563328420715,,
2723.37984714,0.4399668900090103,0.4008129972388055,0.37738097902498474,0.7760619413908451,,0.3428409326172123,0.17646121216443178,,0.18838998685960887,0.45450431524254614,0.06930009440528412,0.1696021023483902,0.1826415591910703,0.08495889348994042,0.2751532887338791,,0.06963623844260781,0.11819301462043731,0.15693243161706244,0.11977341949249479,,0.7593048734179318,0.3352257365848674,,0.4279875366918899,0.04473324255543152,,
2736.99674638,0.43973907210961793,0.3984176083441994,0.3657589869991091,0.7729322175392425,,0.34155363624192764,0.14217167455541352,,0.15825474265666112,0.42648309386486627,0.059475724589225995,0.13219149539293182,0.15246603947629891,0.0813406238721252,0.21793588518015344,,0.0651049322837532,0.09382942639458605,0.12657717828754234,0.11612875072202514,,0.7442406168989744,0.2985596459446565,,0.3955591140940468,0.03950349448879746,,
2750.68173011,0.4384238689433795,0.4032868777422353,0.35006700059807677,0.7690235187837507,,0.3400970535419275,0.11093566689237074,,0.13016131305625014,0.392370511435324,0.04965848207169992,0.09998783394071459,0.13178903579220097,0.08497776054025591,0.18160305150772493,,0.06582466022090233,0.08204529135505607,0.1062817482030964,0.11530090150991985,,0.7305338318995444,0.26070647116058077,,0.36117925749614155,0.03641814399680723,,
2764.43513876,0.4370260904952463,0.4081973520010113,0.335093255416478,0.7647934430236262,,0.33857186590361643,0.08547298395324734,,0.10689330956868427,0.352924212048226,0.04072375719991455,0.0762676312932964,0.11525023248660372,0.09751478914727565,0.16509522680085142,,0.06875599848047623,0.08186400718219687,0.0941001305122293,0.11325649854230785,,0.7154276146591138,0.22864566851165263,,0.3288786104923163,0.034479825059786307,,
2778.25731446,0.4360247524809822,0.41334877755479205,0.3253425363922964,0.7605399614628912,,0.33706188413413074,0.0666204065943846,,0.09041945144568497,0.3123743406462702,0.03356983248506759,0.06071604390658765,0.10190662454533476,0.12433502251964648,0.16682056536440867,,0.07170834395074323,0.09140649677560461,0.08769284143272231,0.112103587551044,,0.6988869998798883,0.20214866809624454,,0.30174866864834865,0.0331327122254353,,
2792.14860103,0.4353712635707391,0.41919376685790954,0.3187007447787017,0.7566069716925601,,0.33561729450696376,0.054813309255470004,,0.07930370262594658,0.2770009803890463,0.028471080838970816,0.05106325934032192,0.09265108599835711,0.15054862481482487,0.18290483519531656,,0.07466429493250398,0.10889732678222286,0.08567530152666024,0.11171611917586637,,0.6881846723420791,0.1787305829721125,,0.281394092763635,0.03205142231929956,,
2806.10934403,0.4344253606464896,0.42521855491396976,0.3141771210311337,0.7532224424902724,,0.3341931527256017,0.04723961044199242,,0.07158015326112553,0.24893866709304033,0.024903254101876642,0.04497094441229026,0.08804748578188867,0.1714893032250242,0.20706185676500521,,0.07799539222238261,0.1314716792190092,0.08937190950324417,0.11214053500760553,,0.6892282587983193,0.15802992462130708,,0.26564294489907414,0.031084663403326263,,
2820.13989075,0.4328044573077878,0.43021320473374364,0.3112095378287961,0.750536459611985,,0.3326984141176241,0.0432177482969948,,0.06578810342201866,0.2217833457053781,0.022114200115769252,0.041064403128800754,0.08707823591584173,0.18710351822634327,0.23470956440837867,,0.08194754163662789,0.1538240151461943,0.09825961844764339,0.11293352985413621,,0.6924578062609688,0.14129406804255565,,0.2465359299932241,0.030226357766065748,,
2834.24059021,0.43105728469678206,0.43358454431063326,0.30902684056446134,0.7481707446763551,,0.3311633616458767,0.04517742245756557,,0.061101046638848786,0.1921238716942203,0.019833095594457843,0.03848816797530925,0.0882071024446293,0.19935900724897998,0.2622906600503877,,0.08626788047718022,0.17150392778920404,0.10762535456399829,0.11357661978476047,,0.6933873029257123,0.12900433031669298,,0.21475878824410297,0.029444852435680003,,
2848.41179316,0.43027435897209254,0.4359456002927722,0.3071105696137221,0.7461038822111774,,0.3296102675626375,0.0538374464644964,,0.05727446665613,0.16431404832494195,0.018016558767945216,0.03674899138316276,0.0897208538177389,0.20972578287633498,0.28598670805132,,0.09050129614654111,0.1839428139493848,0.11415452706882362,0.11399588264085311,,0.6918807550154884,0.11836759932987487,,0.171703114766467,0.028780286737075184,,
2862.65385212,0.4306680599938186,0.4393832277885945,0.30505994335481373,0.7443630203206205,,0.32809395749656645,0.0673451034309187,,0.05520029284376873,0.14074799864928275,0.016586420015469575,0.03567090839674346,0.09029942070470491,0.21907243359587558,0.30296467593010357,,0.09450501397706182,0.19250969236179635,0.1186527223739672,0.11434508951836479,,0.6885752917161863,0.10830310929086877,,0.13986616031512858,0.028223807080295864,,
2876.96712139,0.4315826627638222,0.44274263705347805,0.3029391861389978,0.7428777891911806,,0.326700213735997,0.06719108537639255,,0.05563423367139548,0.11950483588200778,0.015455285292442434,0.035040286401375166,0.08946301608397605,0.22750860335156547,0.31310029612090834,,0.09828996757967047,0.1989628224151682,0.12226359174413062,0.11464991463658818,,0.6843410148726319,0.09886527280431019,,0.13356004195722043,0.02779984650705248,,
2891.35195699,0.4326945490425288,0.4451339967580544,0.3009740619071071,0.741560573105929,,0.3255271840894021,0.05761231190687708,,0.057173112265982,0.10117810682840528,0.014591951326103924,0.034787914091462674,0.08769690899855535,0.23441486347631055,0.3186177547327546,,0.10187945818899795,0.20451245948301144,0.12502324427919106,0.11477749487382054,,0.6797717707986856,0.0902807864710098,,0.15078232506873587,0.027503432889102085,,
2905.80871678,0.4340655296238848,0.44682753820832044,0.2992964091041791,0.7402699182971587,,0.3245561149458682,0.051502129673399344,,0.05937164010235547,0.08712008053006996,0.013965069099974454,0.034911204108731914,0.08631789823452278,0.23963460300889508,0.32181510388765033,,0.10536173045263508,0.20963305580124925,0.12674450106044108,0.11471030595688327,,0.6752748220679924,0.08258877456621481,,0.17920256171159507,0.027305432345862798,,
2920.33776036,0.43565575053885286,0.44789797204363124,0.2979266902067643,0.7389030713873522,,0.3237149765040371,0.04823167157603527,,0.06186621142213261,0.0767135589712685,0.013552525365897681,0.035537621669921325,0.08645061773700687,0.24900418433813995,0.32422631232712124,,0.10883368983660721,0.21438275458992587,0.12790547894115112,0.11477738629051937,,0.6711456004250437,0.07584864036437074,,0.20628697506240712,0.027183895170063966,,
2934.93944916,0.43734235468044724,0.44863190365800276,0.29681220781452994,0.7374296028348735,,0.3229437242640455,0.04635774132518622,,0.06312498711072605,0.06893002945236536,0.013291691776245045,0.03652935725437295,0.08849447478703436,0.26428539118542355,0.3265971313923867,,0.11248408775167099,0.21889834618738985,0.12885584561679886,0.11518652608965939,,0.6674721252257934,0.07018515888900298,,0.22283981529187788,0.027154181697337656,,
2949.61414641,0.4390063934592876,0.44914045665113544,0.2958586219702829,0.7357682292627149,,0.3222995695886883,0.045384428065640234,,0.06375358408898897,0.06380884899733172,0.013154542603151024,0.037721539076517006,0.09219081048052068,0.2770216873931193,0.3291335537099604,,0.11634106788293698,0.22345020283511427,0.12967442812933036,0.11601893732227116,,0.6641785237151473,0.06570470167302828,,0.22886001314183582,0.027177757663085854,,
2964.36221714,0.44058456679693986,0.4494177662609394,0.29502172472888205,0.7339217103037851,,0.3217786904028616,0.045103186708708755,,0.06540285020866991,0.062448395941448215,0.013129514919117385,0.03928049298105684,0.09716975481663476,0.28705737065532144,0.33172373312419845,,0.120397350923044,0.2281425902196915,0.1309895511037751,0.11742331213236593,,0.6613864639394906,0.06261705428522148,,0.23284017624850603,0.027255153674081323,,
2979.18402823,0.4420669311588047,0.449642367801688,0.29431316361036675,0.7320066131425169,,0.3213099426386007,0.045282664648853325,,0.06800433876166811,0.06426690265664844,0.013181095718274114,0.04115381387982354,0.10333233232454701,0.2958183600417684,0.3339897724367336,,0.12456636434099103,0.2327882033880176,0.1330632163588939,0.11948744302362285,,0.6588733605289221,0.06101824947405326,,0.2386215683298436,0.02738513733280721,,
2994.07994837,0.4434640336670252,0.44999988828375787,0.2937406840222486,0.7302148760074781,,0.3208789024538937,0.04580464166557069,,0.07096130707630598,0.06724864333664744,0.013268568031255066,0.04319963607746823,0.11083460956245529,0.30448313988527287,0.33570521033256373,,0.12877815474182716,0.237271031673609,0.135205840381101,0.12218340806415412,,0.6562742595194322,0.06074170957342955,,0.2457989904609901,0.0275477780997778,,
3009.05034811,0.44481868048866624,0.4505274485483975,0.29330618950242093,0.7287258293513849,,0.3205402256720649,0.04630427385312357,,0.07438925027304805,0.06988270020538989,0.013365746157703636,0.04542662118454494,0.119677379619439,0.313205766963682,0.3370119203127363,,0.13297654782984566,0.2416376327651749,0.1373339689628759,0.12541607374745242,,0.6533346558918866,0.061283538109441094,,0.2549566641887179,0.027708202521766652,,
3024.09559985,0.44607005112055925,0.45113634871510383,0.29296362086238703,0.727573588049967,,0.3202626302425738,0.04688944413904739,,0.07841374632427082,0.07171281150743711,0.013436436069204102,0.04780670670874314,0.12949241180171658,0.3213987567378534,0.33828541358825914,,0.13706062818908177,0.24592472248839753,0.13965583144506247,0.12911903976997297,,0.6498505000094009,0.06208187368214071,,0.26523158405170577,0.027835448873286074,,
3039.21607785,0.4472563773038565,0.45165395227130467,0.29270497605322526,0.7266606652819074,,0.32000533103439055,0.04743336492539032,,0.08286419194061519,0.07373628039379669,0.013519777632119886,0.050098286715758424,0.13994091543736603,0.3290726847055314,0.33982123528241803,,0.14101082697707668,0.2502339698494243,0.14205550813933474,0.13307509531915285,,0.6456339822791032,0.06277996354230218,,0.2736613690356203,0.027999186407674712,,
3054.41215824,0.4484455618485023,0.4519697662164664,0.2925111963887021,0.7258934816398145,,0.3198114239780301,0.04767180164634457,,0.08730664417293106,0.07684011714526788,0.013658556050024839,0.05245943437653604,0.15092280190289822,0.3363933623584408,0.34180335427713987,,0.1448143145885123,0.2546376246078406,0.14423584824427904,0.13689271126195,,0.6405442190296464,0.06312618119845757,,0.27975233745512224,0.028150270891371797,,
3069.68421903,0.4496943523627253,0.45204615355838457,0.29234893816386737,0.7252006305466768,,0.31965057531195296,0.047942384734002266,,0.09142724699894719,0.0808029390716078,0.013833677326495913,0.05498515230482676,0.1624874218624818,0.343343264534896,0.344246327185948,,0.14841743634481636,0.2592264220821202,0.14609768113601776,0.14043310833607808,,0.6345821159415915,0.06320196196935163,,0.2845089574553189,0.028347455810870816,,
3085.03264013,0.45100395378943703,0.4520092437034837,0.2922842352986727,0.7246416019440416,,0.3194788111330261,0.04857878687432845,,0.09658863670329641,0.08491472396258275,0.014052800334993797,0.05814100303791531,0.17449483085122178,0.349904031219664,0.3472098481148547,,0.15176304233121357,0.26428790959251625,0.14775575390455992,0.14393987255475846,,0.6272711061645273,0.06324220094191932,,0.28809176126208547,0.028592890385876504,,
3100.45780333,0.4523662771350526,0.45202026881382606,0.29234233778651075,0.7242279059289602,,0.3193494411514792,0.04985303896608685,,0.1054707160383918,0.08813397178296134,0.01433998980484059,0.06208760725835519,0.18661391274834324,0.3561908500149591,0.35076078926854554,,0.1549716332167946,0.2701522246524121,0.14953819947730615,0.14805972905067039,,0.6191853531345485,0.06340364423922484,,0.29127946549901906,0.028899762848511115,,
