Sample ID,10_Otago_00001
Species,10_Otago
Subgroup,10_Otago
Group,10_Otago
Library,EXM_MRS
Sample Description,Sample 10
Date Added,"02/20/2024,02/20/2024"
Viewing Geometry,
Other Information,"Acquired with 1    RS-3500_SN17580H8 [3]
Name: Instrument, dtype: object; 7,32,30,20,50,30 integration times; 100,100 scans averaged"
Composition,
Resolution,2.8nm@700nm 8nm@1500nm 6nm@2100nm
Grain Size,
Locality,
Database of Origin,ExoMars Mission Reference Samples
Wavelength,Response
1397.0,0.34366
1398.0,0.343045
1399.0,0.342409
1400.0,0.34175199999999994
1401.0,0.34108
1402.0,0.34037999999999996
1403.0,0.339638
1404.0,0.33882599999999996
1405.0,0.337983
1406.0,0.337163
1407.0,0.336393
1408.0,0.33559100000000003
1409.0,0.334862
1410.0,0.334342
1411.0,0.33409999999999995
1412.0,0.334061
1413.0,0.33421999999999996
1414.0,0.334575
1415.0,0.335177
1416.0,0.33600700000000006
1417.0,0.336952
1418.0,0.337909
1419.0,0.33893999999999996
1420.0,0.34002899999999997
1421.0,0.34110599999999996
1422.0,0.342111
1423.0,0.34307699999999997
1424.0,0.344013
1425.0,0.344915
1426.0,0.345777
1427.0,0.34659799999999996
1428.0,0.347397
1429.0,0.348196
1430.0,0.349008
1431.0,0.34981900000000005
1432.0,0.35060600000000003
1433.0,0.35135
1434.0,0.35205800000000004
1435.0,0.35273200000000005
1436.0,0.35336799999999996
1437.0,0.35395499999999996
1438.0,0.35448599999999997
1439.0,0.35499
1440.0,0.3555
1441.0,0.356036
1442.0,0.356579
1443.0,0.357121
1444.0,0.357652
1445.0,0.358178
1446.0,0.35869599999999996
1447.0,0.359196
1448.0,0.359662
1449.0,0.360089
1450.0,0.360495
1451.0,0.36090200000000006
1452.0,0.361325
1453.0,0.36175199999999996
1454.0,0.362184
1455.0,0.362622
1456.0,0.363076
1457.0,0.363543
1458.0,0.364002
1459.0,0.364431
1460.0,0.364823
1461.0,0.365195
1462.0,0.365563
1463.0,0.36593699999999996
1464.0,0.366298
1465.0,0.36666699999999997
1466.0,0.367074
1467.0,0.36754
1468.0,0.368051
1469.0,0.368586
1470.0,0.36912300000000003
1471.0,0.36966299999999996
1472.0,0.370214
1473.0,0.370763
1474.0,0.371295
1475.0,0.37179900000000005
1476.0,0.37229500000000004
1477.0,0.372816
1478.0,0.373389
1479.0,0.374011
1480.0,0.37465000000000004
1481.0,0.37526899999999996
1482.0,0.375861
1483.0,0.376444
1484.0,0.377
1485.0,0.377513
1486.0,0.37795900000000004
1487.0,0.378368
1488.0,0.37878300000000004
1489.0,0.37924
1490.0,0.379726
1491.0,0.38022500000000004
1492.0,0.380727
1493.0,0.381222
1494.0,0.381718
1495.0,0.382218
1496.0,0.38272599999999996
1497.0,0.383249
1498.0,0.38378
1499.0,0.384311
1500.0,0.384833
1501.0,0.385347
1502.0,0.385859
1503.0,0.386372
1504.0,0.386892
1505.0,0.38742
1506.0,0.387944
1507.0,0.388453
1508.0,0.388945
1509.0,0.389425
1510.0,0.38988999999999996
1511.0,0.390334
1512.0,0.390743
1513.0,0.391138
1514.0,0.391553
1515.0,0.392014
1516.0,0.39250799999999997
1517.0,0.39301600000000003
1518.0,0.393517
1519.0,0.39401899999999995
1520.0,0.394524
1521.0,0.395011
1522.0,0.39545699999999995
1523.0,0.395856
1524.0,0.39622599999999997
1525.0,0.39659
1526.0,0.396958
1527.0,0.39731900000000003
1528.0,0.39768000000000003
1529.0,0.39805
1530.0,0.398431
1531.0,0.39881999999999995
1532.0,0.399221
1533.0,0.399639
1534.0,0.400084
1535.0,0.400542
1536.0,0.400993
1537.0,0.401421
1538.0,0.401837
1539.0,0.402243
1540.0,0.40264099999999997
1541.0,0.40303
1542.0,0.403408
1543.0,0.40378100000000006
1544.0,0.40415300000000004
1545.0,0.404522
1546.0,0.404887
1547.0,0.40525
1548.0,0.405607
1549.0,0.405953
1550.0,0.406302
1551.0,0.406674
1552.0,0.407093
1553.0,0.407547
1554.0,0.407988
1555.0,0.408372
1556.0,0.40869500000000003
1557.0,0.408986
1558.0,0.40926900000000005
1559.0,0.409553
1560.0,0.409813
1561.0,0.410087
1562.0,0.41042
1563.0,0.410833
1564.0,0.41129899999999997
1565.0,0.411799
1566.0,0.412315
1567.0,0.41287799999999997
1568.0,0.41345999999999994
1569.0,0.414007
1570.0,0.414479
1571.0,0.414895
1572.0,0.415286
1573.0,0.415678
1574.0,0.416076
1575.0,0.41646700000000003
1576.0,0.41686
1577.0,0.41726199999999997
1578.0,0.417688
1579.0,0.418112
1580.0,0.41849800000000004
1581.0,0.41881300000000005
1582.0,0.419063
1583.0,0.419296
1584.0,0.419559
1585.0,0.41985700000000004
1586.0,0.42017200000000005
1587.0,0.4205
1588.0,0.42084299999999997
1589.0,0.421209
1590.0,0.421582
1591.0,0.421946
1592.0,0.42229
1593.0,0.42262700000000003
1594.0,0.42294899999999996
1595.0,0.423248
1596.0,0.423514
1597.0,0.423759
1598.0,0.424007
1599.0,0.42427
1600.0,0.42453
1601.0,0.424807
1602.0,0.42512300000000003
1603.0,0.425496
1604.0,0.425908
1605.0,0.426336
1606.0,0.426759
1607.0,0.427192
1608.0,0.427628
1609.0,0.42804699999999996
1610.0,0.428433
1611.0,0.428795
1612.0,0.429143
1613.0,0.429488
1614.0,0.429829
1615.0,0.430163
1616.0,0.430491
1617.0,0.43081200000000003
1618.0,0.431121
1619.0,0.431427
1620.0,0.431738
1621.0,0.432056
1622.0,0.43237499999999995
1623.0,0.432703
1624.0,0.433046
1625.0,0.43341
1626.0,0.433784
1627.0,0.434153
1628.0,0.43451
1629.0,0.43486400000000003
1630.0,0.43520600000000004
1631.0,0.43552799999999997
1632.0,0.435826
1633.0,0.436106
1634.0,0.43637099999999995
1635.0,0.43661900000000003
1636.0,0.43683500000000003
1637.0,0.437048
1638.0,0.43729799999999996
1639.0,0.437616
1640.0,0.43798000000000004
1641.0,0.438343
1642.0,0.438659
1643.0,0.43893099999999996
1644.0,0.43917900000000004
1645.0,0.439413
1646.0,0.439629
1647.0,0.439809
1648.0,0.440004
1649.0,0.44026499999999996
1650.0,0.44061700000000004
1651.0,0.441024
1652.0,0.44144399999999995
1653.0,0.44183999999999996
1654.0,0.44222700000000004
1655.0,0.442617
1656.0,0.443018
1657.0,0.44344
1658.0,0.443877
1659.0,0.444313
1660.0,0.44473
1661.0,0.44514899999999996
1662.0,0.445554
1663.0,0.445914
1664.0,0.446212
