Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
892.0,0.22456060349941254,0.12020960003137589,0.2263873964548111,0.3399956,0.23649263083934785,0.33038060665130614,0.8703866124153137,0.9249214887619018,0.9457871794700623,0.40991119742393495,0.8553882002830505,0.9507751822471618,0.2746891975402832,0.9317225933074951,0.4379678010940552,0.40903733372688295,0.3994036018848419,0.5781800150871277,0.3850772023200989,0.9133844017982483,0.556824243068695,0.884616208076477,0.9027253866195679,0.9015475034713745,0.7347715854644775,0.5697399973869324,0.25992146134376526,0.907583224773407
893.0,0.22381140291690826,0.11968140006065368,0.2258685976266861,0.3391734,0.23675948679447173,0.3303164064884186,0.8702834129333497,0.9249372124671936,0.9456247806549072,0.4102868020534515,0.8555608034133911,0.9508087873458863,0.274685800075531,0.9317633986473084,0.43775019645690916,0.409300822019577,0.39941540360450745,0.577987015247345,0.3847408056259155,0.9135825991630554,0.5568220257759094,0.884703803062439,0.9027475833892822,0.9017562150955201,0.7346903920173645,0.5698699951171875,0.2597932517528534,0.9074415683746337
894.0,0.223062202334404,0.1191532000899315,0.2253497987985611,0.3383512,0.23702634274959564,0.330252206325531,0.8701802134513855,0.9249529361724853,0.9454623818397522,0.41066240668296816,0.8557334065437316,0.9508423924446106,0.2746824026107788,0.9318042039871216,0.4375325918197632,0.40956431031227114,0.399427205324173,0.5777940154075623,0.38440440893173217,0.9137807965278626,0.5568198084831237,0.8847913980484009,0.9027697801589966,0.9019649267196655,0.7346091985702514,0.5699999928474426,0.25966504216194153,0.9072999119758606
895.0,0.22231300175189972,0.11862500011920929,0.2248309999704361,0.337529,0.23729319870471954,0.33018800616264343,0.8700770139694214,0.9249686598777771,0.9452999830245972,0.41103801131248474,0.8559060096740723,0.950875997543335,0.2746790051460266,0.9318450093269348,0.4373149871826172,0.4098277986049652,0.3994390070438385,0.5776010155677795,0.38406801223754883,0.9139789938926697,0.5568175911903381,0.8848789930343628,0.9027919769287109,0.902173638343811,0.7345280051231384,0.5701299905776978,0.25953683257102966,0.9071582555770874
896.0,0.2213256001472473,0.1183446004986763,0.22452499866485595,0.336691,0.23775050938129424,0.33015880584716795,0.8700090169906616,0.9247265338897706,0.9451503992080689,0.41001721024513244,0.8557210087776184,0.9506799936294555,0.27465200424194336,0.9321554064750671,0.4375079870223999,0.4097535967826843,0.39966640472412107,0.578066611289978,0.38380740880966185,0.9139135956764222,0.5573439836502075,0.8848771929740906,0.9025583863258362,0.9020632266998291,0.7345862030982971,0.5701499938964844,0.25914347767829893,0.9076213717460633
897.0,0.2203381985425949,0.11806420087814332,0.2242189973592758,0.335853,0.23820782005786895,0.3301296055316925,0.8699410200119019,0.9244844079017639,0.9450008153915406,0.40899640917778013,0.8555360078811646,0.9504839897155761,0.2746250033378601,0.9324658036231994,0.4377009868621826,0.40967939496040345,0.3998938024044037,0.5785322070121766,0.3835468053817749,0.9138481974601745,0.557870376110077,0.8848753929138183,0.9023247957229614,0.9019528150558471,0.7346444010734559,0.570169997215271,0.25875012278556825,0.908084487915039
898.0,0.21935079693794252,0.11778380125761032,0.2239129960536957,0.335015,0.23866513073444368,0.33010040521621703,0.8698730230331421,0.9242422819137573,0.9448512315750122,0.4079756081104279,0.8553510069847107,0.9502879858016968,0.27459800243377686,0.9327762007713318,0.43789398670196533,0.40960519313812255,0.40012120008468627,0.578997802734375,0.38328620195388796,0.913782799243927,0.5583967685699462,0.8848735928535462,0.9020912051200867,0.9018424034118653,0.7347025990486145,0.5701900005340577,0.2583567678928375,0.9085476040840149
899.0,0.2183633953332901,0.11750340163707733,0.22360699474811555,0.334177,0.23912244141101838,0.3300712049007416,0.8698050260543824,0.9240001559257507,0.9447016477584839,0.4069548070430756,0.8551660060882569,0.9500919818878174,0.2745710015296936,0.9330865979194641,0.43808698654174805,0.4095309913158417,0.4003485977649689,0.5794633984565735,0.383025598526001,0.9137174010276794,0.5589231610298157,0.8848717927932739,0.9018576145172119,0.9017319917678833,0.7347607970237732,0.5702100038528443,0.25796341300010683,0.9090107202529907
900.0,0.2173759937286377,0.11722300201654434,0.2233009934425354,0.333339,0.23957975208759308,0.3300420045852661,0.8697370290756226,0.9237580299377441,0.9445520639419556,0.40593400597572327,0.854981005191803,0.949895977973938,0.27454400062561035,0.9333969950675964,0.43827998638153076,0.4094567894935608,0.40057599544525146,0.579928994178772,0.382764995098114,0.9136520028114319,0.5594495534896851,0.8848699927330017,0.9016240239143372,0.9016215801239014,0.7348189949989319,0.5702300071716309,0.2575700581073761,0.9094738364219666
901.0,0.2165199935436249,0.1167124018073082,0.22291179597377778,0.3324854,0.240090411901474,0.3300654053688049,0.8697184205055237,0.9235360026359558,0.944467055797577,0.4057174026966095,0.8550894021987915,0.9500795841217041,0.27470099925994873,0.9333487987518311,0.4381549894809723,0.4093572199344635,0.40067999362945556,0.5799293994903565,0.3825913965702057,0.913266396522522,0.5599123001098633,0.8845823884010315,0.9018424153327942,0.9014867424964905,0.7346741914749145,0.5702400088310242,0.2572209894657135,0.9097369551658631
902.0,0.21566399335861205,0.11620180159807206,0.22252259850502015,0.3316318,0.24060107171535491,0.33008880615234376,0.8696998119354248,0.9233139753341675,0.9443820476531982,0.4055007994174957,0.85519779920578,0.9502631902694703,0.2748579978942871,0.9333006024360657,0.4380299925804138,0.4092576503753662,0.40078399181365965,0.5799298048019409,0.38241779804229736,0.912880790233612,0.5603750467300415,0.8842947840690613,0.9020608067512512,0.9013519048690796,0.7345293879508972,0.5702500104904175,0.2568719208240509,0.9100000739097596
903.0,0.21480799317359925,0.1156912013888359,0.2221334010362625,0.3307782,0.24111173152923585,0.33011220693588256,0.869681203365326,0.9230919480323792,0.9442970395088196,0.40528419613838196,0.8553061962127686,0.9504467964172363,0.2750149965286255,0.9332524061203002,0.43790499567985536,0.4091580808162689,0.4008879899978638,0.5799302101135254,0.38224419951438904,0.9124951839447022,0.5608377933502198,0.8840071797370911,0.9022791981697083,0.9012170672416687,0.7343845844268799,0.5702600121498108,0.2565228521823883,0.910263192653656
904.0,0.21395199298858641,0.11518060117959976,0.22174420356750488,0.3299246,0.24162239134311675,0.3301356077194214,0.869662594795227,0.9228699207305908,0.9442120313644409,0.4050675928592682,0.8554145932197571,0.9506304025650024,0.27517199516296387,0.9332042098045349,0.43777999877929685,0.40905851125717163,0.4009919881820679,0.5799306154251098,0.3820706009864807,0.9121095776557923,0.561300539970398,0.8837195754051208,0.9024975895881653,0.9010822296142578,0.7342397809028626,0.5702700138092041,0.25617378354072573,0.9105263113975525
905.0,0.2130959928035736,0.11467000097036362,0.22135500609874725,0.329071,0.24213305115699768,0.3301590085029602,0.8696439862251282,0.9226478934288025,0.9441270232200623,0.4048509895801544,0.8555229902267456,0.9508140087127686,0.27532899379730225,0.9331560134887695,0.4376550018787384,0.40895894169807434,0.401095986366272,0.5799310207366943,0.3818970024585724,0.9117239713668823,0.5617632865905762,0.8834319710731506,0.9027159810066223,0.9009473919868469,0.7340949773788452,0.5702800154685974,0.2558247148990631,0.910789430141449
906.0,0.21215639412403106,0.1148364007472992,0.22115400433540344,0.328369,0.24285711944103242,0.33006560802459717,0.8695887923240662,0.9225062966346741,0.9440378069877624,0.4045859932899475,0.8555627942085267,0.9503508090972901,0.2755415976047516,0.9332396149635315,0.4378737986087799,0.4087579011917114,0.4010391891002655,0.579667615890503,0.3817990005016327,0.911005175113678,0.5619714856147766,0.8835649728775025,0.9021645903587341,0.9007148742675781,0.7341731786727905,0.570278012752533,0.25565280914306643,0.910252571105957
907.0,0.21121679544448851,0.11500280052423477,0.22095300257205963,0.327667,0.24358118772506715,0.32997220754623413,0.8695335984230042,0.9223646998405457,0.9439485907554627,0.4043209969997406,0.8556025981903076,0.9498876094818115,0.2757542014122009,0.9333232164382934,0.4380925953388214,0.4085568606853485,0.40098239183425904,0.5794042110443115,0.38170099854469297,0.9102863788604736,0.562179684638977,0.8836979746818543,0.901613199710846,0.9004823565483093,0.7342513799667358,0.5702760100364686,0.2554809033870697,0.9097157120704651
908.0,0.210277196764946,0.11516920030117035,0.22075200080871582,0.326965,0.24430525600910186,0.3298788070678711,0.8694784045219421,0.9222231030464172,0.9438593745231628,0.4040560007095337,0.8556424021720886,0.949424409866333,0.2759668052196503,0.9334068179130555,0.43831139206886294,0.4083558201789856,0.40092559456825255,0.5791408061981201,0.3816029965877533,0.9095675826072693,0.5623878836631775,0.883830976486206,0.9010618090629577,0.9002498388290405,0.7343295812606812,0.570274007320404,0.255308997631073,0.9091788530349731
909.0,0.20933759808540345,0.11533560007810592,0.220550999045372,0.32626299999999997,0.2450293242931366,0.32978540658950806,0.8694232106208801,0.9220815062522888,0.9437701582908631,0.4037910044193268,0.8556822061538696,0.9489612102508544,0.2761794090270996,0.9334904193878174,0.43853018879890443,0.4081547796726227,0.4008687973022461,0.5788774013519287,0.3815049946308136,0.908848786354065,0.5625960826873779,0.8839639782905578,0.9005104184150696,0.9000173211097717,0.7344077825546265,0.5702720046043396,0.25513709187507627,0.9086419939994812
910.0,0.2083979994058609,0.1155019998550415,0.2203499972820282,0.325561,0.24575339257717133,0.329692006111145,0.8693680167198181,0.9219399094581604,0.9436809420585632,0.4035260081291199,0.8557220101356506,0.948498010635376,0.27639201283454895,0.9335740208625793,0.4387489855289459,0.40795373916625977,0.4008120000362396,0.5786139965057373,0.3814069926738739,0.9081299901008606,0.5628042817115784,0.8840969800949097,0.8999590277671814,0.8997848033905029,0.7344859838485718,0.5702700018882751,0.2549651861190796,0.9081051349639893
911.0,0.20744960010051727,0.11530620008707046,0.22006539702415467,0.3244238,0.2464580327272415,0.3296846032142639,0.8694494128227234,0.9217514991760254,0.9435010313987732,0.40370980501174925,0.8557804107666016,0.9486324071884156,0.2766480088233948,0.9335368156433106,0.4387837886810303,0.4078499019145966,0.40107920169830324,0.5787455916404725,0.3811613917350769,0.9090075969696045,0.562991452217102,0.8840417861938477,0.9002612233161926,0.8996405363082886,0.7346319913864136,0.5702600002288818,0.2547217428684235,0.9076239347457886
912.0,0.20650120079517365,0.11511040031909943,0.21978079676628112,0.3232866,0.2471626728773117,0.3296772003173828,0.8695308089256286,0.9215630888938904,0.9433211207389831,0.4038936018943787,0.8558388113975525,0.9487668037414551,0.2769040048122406,0.9334996104240417,0.4388185918331146,0.40774606466293334,0.4013464033603668,0.5788771867752075,0.3809157907962799,0.9098852038383484,0.5631786227226258,0.8839865922927856,0.9005634188652039,0.8994962692260742,0.7347779989242553,0.5702499985694885,0.25447829961776736,0.9071427345275879
913.0,0.20555280148983002,0.11491460055112838,0.2194961965084076,0.32214940000000003,0.2478673130273819,0.32966979742050173,0.869612205028534,0.9213746786117554,0.9431412100791932,0.40407739877700805,0.8558972120285034,0.9489012002944947,0.27716000080108644,0.933462405204773,0.438853394985199,0.40764222741127015,0.40161360502243043,0.5790087819099426,0.3806701898574829,0.9107628107070923,0.5633657932281494,0.8839313983917236,0.9008656144142151,0.8993520021438599,0.7349240064620972,0.5702399969100952,0.2542348563671112,0.9066615343093872
914.0,0.2046044021844864,0.11471880078315735,0.21921159625053405,0.3210122,0.2485719531774521,0.3296623945236206,0.8696936011314392,0.9211862683296204,0.9429612994194031,0.4042611956596375,0.8559556126594543,0.9490355968475341,0.27741599678993223,0.9334251999855041,0.4388881981372833,0.4075383901596069,0.401880806684494,0.5791403770446777,0.3804245889186859,0.9116404175758361,0.5635529637336731,0.8838762044906616,0.9011678099632263,0.8992077350616455,0.735070013999939,0.570229995250702,0.25399141311645507,0.9061803340911865
915.0,0.20365600287914276,0.11452300101518631,0.21892699599266052,0.319875,0.24927659332752228,0.3296549916267395,0.8697749972343445,0.9209978580474854,0.942781388759613,0.40444499254226685,0.8560140132904053,0.9491699934005737,0.2776719927787781,0.9333879947662354,0.4389230012893677,0.4074345529079437,0.4021480083465576,0.5792719721794128,0.3801789879798889,0.9125180244445801,0.5637401342391968,0.8838210105895996,0.9014700055122375,0.8990634679794312,0.7352160215377808,0.5702199935913086,0.25374796986579895,0.9056991338729858
916.0,0.20247440338134765,0.11479660123586655,0.21854359805583953,0.3186684,0.24990355968475342,0.3296993911266327,0.8703115940093994,0.9206222534179688,0.9430375933647156,0.40433539152145387,0.8560484051704407,0.9490251898765564,0.2778267920017242,0.9330958008766175,0.43875679969787595,0.40771946907043455,0.4022432088851929,0.579195773601532,0.38026819229125974,0.9120098233222962,0.5638431787490845,0.8837112069129944,0.9012582063674927,0.8992721557617187,0.7351450204849244,0.5703499913215637,0.25321837067604064,0.9054405927658081
917.0,0.20129280388355256,0.11507020145654678,0.21816020011901854,0.3174618,0.25053052604198456,0.32974379062652587,0.8708481907844543,0.9202466487884522,0.9432937979698182,0.4042257905006409,0.8560827970504761,0.948880386352539,0.2779815912246704,0.9328036069869995,0.4385905981063843,0.4080043852329254,0.40233840942382815,0.5791195750236511,0.3803573966026306,0.9115016222000122,0.5639462232589721,0.8836014032363891,0.9010464072227478,0.8994808435440064,0.7350740194320678,0.5704799890518188,0.2526887714862823,0.9051820516586304
918.0,0.20011120438575744,0.11534380167722702,0.21777680218219758,0.3162552,0.2511574923992157,0.3297881901264191,0.8713847875595093,0.9198710441589355,0.9435500025749206,0.40411618947982786,0.8561171889305115,0.9487355828285218,0.27813639044761657,0.9325114130973816,0.43842439651489257,0.40828930139541625,0.40243360996246336,0.5790433764457703,0.38044660091400145,0.9109934210777283,0.5640492677688599,0.883491599559784,0.900834608078003,0.8996895313262939,0.7350030183792114,0.570609986782074,0.25215917229652407,0.9049235105514526
919.0,0.19892960488796235,0.11561740189790726,0.2173934042453766,0.3150486,0.25178445875644684,0.32983258962631223,0.8719213843345642,0.9194954395294189,0.9438062071800232,0.4040065884590149,0.8561515808105469,0.9485907793045044,0.27829118967056277,0.9322192192077636,0.4382581949234009,0.4085742175579071,0.4025288105010986,0.5789671778678894,0.38053580522537234,0.9104852199554443,0.5641523122787475,0.8833817958831787,0.9006228089332581,0.8998982191085816,0.7349320173263549,0.5707399845123291,0.25162957310676576,0.9046649694442749
920.0,0.19774800539016724,0.1158910021185875,0.2170100063085556,0.313842,0.252411425113678,0.32987698912620544,0.8724579811096191,0.9191198348999023,0.9440624117851257,0.4038969874382019,0.8561859726905823,0.9484459757804871,0.2784459888935089,0.9319270253181458,0.4380919933319092,0.40885913372039795,0.4026240110397339,0.5788909792900085,0.38062500953674316,0.9099770188331604,0.5642553567886353,0.8832719922065735,0.9004110097885132,0.9001069068908691,0.7348610162734985,0.5708699822425842,0.25109997391700745,0.9044064283370972
921.0,0.19681160449981688,0.11605540215969086,0.21667100489139557,0.3129846,0.2532202959060669,0.32980579137802124,0.8724905848503113,0.9189279556274415,0.9437177777290344,0.4041911900043488,0.8561281800270081,0.9484217762947083,0.2785089910030365,0.9326338171958923,0.43829779624938964,0.4090936124324799,0.4028594076633453,0.5790615797042846,0.3805590093135834,0.9096692204475403,0.5644023537635803,0.883821988105774,0.9003578066825867,0.9003305673599243,0.7349430084228515,0.5707539916038513,0.2505984425544739,0.9040599703788758
922.0,0.19587520360946656,0.11621980220079423,0.21633200347423553,0.3121272,0.2540291666984558,0.32973459362983704,0.8725231885910034,0.9187360763549804,0.9433731436729431,0.4044853925704956,0.8560703873634339,0.9483975768089294,0.2785719931125641,0.9333406090736389,0.4385035991668701,0.40932809114456176,0.40309480428695676,0.5792321801185608,0.3804930090904236,0.9093614220619202,0.5645493507385254,0.8843719840049744,0.9003046035766602,0.9005542278289795,0.7350250005722045,0.5706380009651184,0.25009691119194033,0.9037135124206543
